budget,release_date,revenue,title,Vote_Average
13000000,1927,48065672,21 & Over,50
13000000,1930,4857367,"Paris, je t'aime",50
0,1930,0,Resurrecting the Champ,50
13000000,1990,18000000,Admission,50
0,1999,0,The Widow of Saint-Pierre,50
6000000,1910,2122561,Mallrats,50
6000000,1910,181813770,Grease,50
6000000,1914,138530565,Platoon,50
6000000,1916,119114517,Fahrenheit 9/11,50
6000000,1917,102308889,Butch Cassidy and the Sundance Kid,50
6000000,1920,102272727,Mary Poppins,50
6000000,1920,0,Ordinary People,50
6000000,1923,43656822,West Side Story,50
6000000,1925,39846344,Caddyshack,50
0,1925,0,The Brothers,50
6000000,1925,25059640,The Wood,50
6000000,1925,23341568,The Usual Suspects,50
8000000,1927,22168359,A Nightmare on Elm Street 5: The Dream Child,50
5000000,1930,38275483,National Lampoon’s Van Wilder,50
6000000,1930,44703995,The Wrestler,50
6000000,1990,20400000,Duel in the Sun,50
0,1999,0,Best in Show,50
2000000,1910,622806,Sherrybaby,50
0,1910,0,Circle,50
0,1914,3983997,Eden Lake,50
0,1916,0,Plush,50
0,1917,0,Lesbian Vampire Killers,50
0,1920,0,Gangster's Paradise: Jerusalema,50
0,1920,0,Freeze Frame,50
1000000,1923,0,Grave Encounters,50
100000,1925,95000,Stitches,50
2000000,1925,0,Nine Dead,50
2,1925,0,"To Be Frank, Sinatra at 100",50
2000000,1925,11833696,Bananas,50
0,1927,0,Supercapitalist,50
0,1930,0,Rockaway,50
2300000,1930,0,The Lady from Shanghai,50
2000000,1990,0,No Man's Land: The Rise of Reeker,50
14000000,1999,0,Highway,50
200000000,1925,1845034188,Titanic,50.08
55000000,1925,100230832,Any Given Sunday,50.08
40000000,1925,173930596,In Time,50.08
18000000,1925,358991681,Home Alone 2: Lost in New York,50.08
15000000,1925,8459458,Chloe,50.08
6000000,1925,50244700,Escape from New York,50.08
2000000,1925,0,Small Apartments,50.08
250000000,1937,1153304495,Captain America: Civil War,50.5
60000000,1937,186883563,The Horse Whisperer,50.5
35000000,1937,77477008,The Back-Up Plan,50.5
20000000,1937,303788635,Close Encounters of the Third Kind,50.5
13000000,1937,9789900,Faithful,50.5
0,1937,0,School Daze,50.5
0,1937,0,Coffee Town,50.5
209000000,1925,303025485,Battleship,51
65000000,1925,217764291,Collateral,51
35000000,1925,59901913,Something Borrowed,51
38000000,1925,29907685,Pulse,51
13000000,1925,2636637,Find Me Guilty,51
6000000,1925,18197398,Daddy Day Camp,51
0,1925,0,The Ghastly Love of Johnny X,51
150000000,1999,1513528810,Jurassic World,51.25
60000000,1999,165333180,The Scorpion King,51.25
0,1999,0,Black Knight,51.25
20000000,1999,299965036,Beverly Hills Cop II,51.25
13000000,1999,33400000,The Perks of Being a Wallflower,51.25
12716953,1999,18814720,Mr. Nice Guy,51.25
0,1999,0,All Is Bright,51.25
200000000,1925,1108561013,Skyfall,53
60000000,1925,74541707,Ladder 49,53
35000000,1925,35323292,The Bad News Bears,53
20000000,1925,132675402,Bringing Down the House,53
3000000,1925,1200000,Excessive Force,53
6000000,1925,18750246,A Mighty Wind,53
0,1925,0,The Torture Chamber of Dr. Sadism,53
200000000,1960,783766341,Spider-Man 2,59.5
60000000,1960,218340595,Jack Reacher,59.5
35000000,1960,99423521,Street Fighter,59.5
19000000,1960,272742922,The Silence of the Lambs,59.5
13000000,1960,1151330,Infamous,59.5
0,1960,0,Mystic Pizza,59.5
7000000,1960,0,Straight A's,59.5
200000000,1925,1215439994,Iron Man 3,59.75
60000000,1925,73648228,Deep Blue Sea,59.75
35000000,1925,120072577,The Pianist,59.75
20000000,1925,121697323,Wayne's World,59.75
0,1925,0,The Claim,59.75
6000000,1925,58000000,Sliding Doors,59.75
0,1925,0,A Funny Thing Happened on the Way to the Forum,59.75
200000000,1920,1025491110,Alice in Wonderland,60
60000000,1920,0,This Is It,60
35000000,1920,0,The Nativity Story,60
20000000,1920,117224271,Jackass 3D,60
13000000,1920,1784763,The Vatican Tapes,60
6000000,1920,12000000,Tales from the Hood,60
0,1920,0,Slacker Uprising,60
210000000,1920,459359555,X-Men: The Last Stand,60.33
60000000,1920,137551594,Contagion,60.33
40000000,1920,68766121,House of Wax,60.33
20000000,1920,187884007,Jaws 2,60.33
14350531,1920,3964682,Attack the Block,60.33
6000000,1920,48027970,The Last King of Scotland,60.33
0,1920,0,The Legend of Hell's Gate: An American Conspiracy,60.33
200000000,1940,743559607,Monsters University,63.33
0,1940,0,Kangaroo Jack,63.33
27000000,1940,115505027,Closer,63.33
20000000,1940,149281606,Beverly Hills Chihuahua,63.33
10000000,1940,303877,In the Land of Blood and Honey,63.33
5000000,1940,11642254,Halloween 5: The Revenge of Michael Myers,63.33
0,1940,0,The Walking Deceased,63.33
150000000,1920,836297228,Transformers: Revenge of the Fallen,64.92
60000000,1920,124596398,Coraline,64.92
35000000,1920,84606030,J. Edgar,64.92
13000000,1920,318000141,The Conjuring,64.92
13000000,1920,68572378,The Call,64.92
5000000,1920,9206470,Bernie,64.92
2000000,1920,0,The Curse of Downers Grove,64.92
210000000,1920,1091405097,Transformers: Age of Extinction,65
200000000,1920,491868548,Oz: The Great and Powerful,65
200000000,1925,705717432,The Amazing Spider-Man 2,65
60000000,1920,163403799,The Happening,65
70000000,1920,130293714,Man on Fire,65
50000000,1925,61112916,The Shaggy Dog,65
35000000,1920,72436439,Mirrors,65
35000000,1920,45479110,Queen of the Damned,65
35000000,1925,57120318,Predator 2,65
32000000,1920,97918663,Are We There Yet?,65
20000000,1920,100525432,Tammy,65
35000000,1925,131282949,School of Rock,65
0,1920,0,Operation Chromite,65
0,1920,33082548,The Crocodile Hunter: Collision Course,65
13000000,1925,10652035,I Love You Phillip Morris,65
6000000,1920,7518876,Dolphins and Whales: Tribes of the Ocean,65
0,1920,0,Pollock,65
6000000,1925,6852450,200 Cigarettes,65
2000000,1920,0,Shark Lake,65
19000000,1920,0,River's Edge,65
0,1925,0,Northfork,65
170000000,1984,400062763,TRON: Legacy,65.83
60000000,1984,170268750,Starsky & Hutch,65.83
35000000,1984,32483410,Untraceable,65.83
18000000,1984,122195920,Mortal Kombat,65.83
12000000,1984,55260558,Quest for Fire,65.83
6000000,1984,13231461,The Words,65.83
1950000,1984,0,The Marine 4: Moving Target,65.83
200000000,1901,559852396,Cars 2,66.75
200000000,1920,219851172,Green Lantern,66.75
200000000,1925,1066969703,Toy Story 3,66.75
60000000,1901,129832389,Jingle All the Way,66.75
66000000,1920,99318987,Hellboy,66.75
70000000,1925,56702901,A Civil Action,66.75
35000000,1901,40263020,Blast from the Past,66.75
35000000,1920,27107960,Flash Gordon,66.75
35000000,1925,36098382,Jersey Girl,66.75
37000000,1901,113086475,White Chicks,66.75
20000000,1920,177243185,The Descendants,66.75
20000000,1925,0,Holes,66.75
12500000,1901,23367586,Antwone Fisher,66.75
0,1920,0,The Emperor's Club,66.75
12500000,1925,12281551,True Romance,66.75
0,1901,0,Casa De Mi Padre,66.75
6000000,1920,6670712,City Island,66.75
6000000,1925,19560274,The Guard,66.75
1987650,1901,19152480,Buried,66.75
0,1920,864659,Submarine,66.75
0,1925,0,The Square,66.75
200000000,1970,371353001,Terminator Salvation,67.5
60000000,1970,107139399,ParaNorman,67.5
45000000,1970,30353232,Alex Cross,67.5
0,1970,0,The Last Song,67.5
3100000,1970,0,Womb,67.5
7000000,1970,6230276,College,67.5
0,1970,0,One to Another,67.5
190000000,1920,1506249360,Furious 7,68.25
60000000,1920,159330280,The Jackal,68.25
35000000,1920,25105255,Midnight in the Garden of Good and Evil,68.25
20000000,1920,187000000,12 Years a Slave,68.25
12500000,1920,10725228,Glengarry Glen Ross,68.25
6000000,1920,10409377,The Virgin Suicides,68.25
0,1920,222000,ABCD (Any Body Can Dance),68.25
200000000,1928,531865000,World War Z,68.92
60000000,1928,96269812,Paycheck,68.92
8900000,1928,4100000,Heist,68.92
20000000,1928,57588485,Drumline,68.92
13000000,1928,0,The Killer Inside Me,68.92
0,1928,0,Little Voice,68.92
0,1928,2957978,Man on Wire,68.92
250000000,1940,747862775,X-Men: Days of Future Past,69
60000000,1940,0,Up Close & Personal,69
35000000,1940,93246388,Nanny McPhee and the Big Bang,69
20000000,1940,60072596,Why Did I Get Married Too?,69
0,1940,0,Cat People,69
0,1940,0,Miss March,69
0,1940,0,Abandoned,69
190000000,1940,467365246,Star Trek Into Darkness,69.17
60000000,1940,50877145,The Tale of Despereaux,69.17
35000000,1940,0,Hoffa,69.17
20000000,1940,53000000,Edward Scissorhands,69.17
12500000,1940,27206120,Sorority Row,69.17
5500000,1940,5483299,Wish I Was Here,69.17
1900000,1940,0,Brotherly Love,69.17
195000000,1901,197687603,Jack the Giant Slayer,70
105000000,1901,351040419,The Great Gatsby,70
150000000,1901,335154643,Prince of Persia: The Sands of Time,70
180000000,1922,407602906,Pacific Rim,70
195000000,1934,1123746996,Transformers: Dark of the Moon,70
185000000,2003,786636033,Indiana Jones and the Kingdom of the Crystal Skull,70
175000000,2006,331926147,The Good Dinosaur,70
0,1901,0,The Tuxedo,70
60000000,1901,104324083,Under Siege 2: Dark Territory,70
60000000,1901,50549107,Jack Ryan: Shadow Recruit,70
60000000,1922,101134059,Joy,70
60000000,1934,205754447,London Has Fallen,70
70000000,2003,162000000,Alien: Resurrection,70
61000000,2006,95696996,Shooter,70
30000000,1901,68369434,The X Files: I Want to Believe,70
31000000,1901,27388767,Ella Enchanted,70
35000000,1901,50363790,Concussion,70
35000000,1922,82087155,Abduction,70
35000000,1934,19478106,Valiant,70
35000000,2003,0,Wonder Boys,70
35000000,2006,25871834,Superhero Movie,70
20000000,1901,207945075,Me Before You,70
0,1901,0,Madea's Witness Protection,70
1800000,1901,41158757,The French Connection,70
20000000,1922,183936074,Bad Moms,70
20000000,1934,48548426,Date Movie,70
20000000,2003,109862682,Return to Never Land,70
20000000,2006,66787908,Selma,70
0,1901,0,The Prisoner of Zenda,70
12000000,1901,11293663,Lars and the Real Girl,70
12500000,1901,20416563,The Boy in the Striped Pyjamas,70
12800000,1922,40031879,Dancer in the Dark,70
0,1934,0,Oscar and Lucinda,70
12500000,2003,1227324,The Funeral,70
15000000,2006,5024782,Solitary Man,70
6000000,1901,4398989,Simply Irresistible,70
0,1901,0,Hedwig and the Angry Inch,70
6000000,1901,3283371,Only the Strong,70
0,1922,0,Goddess of Love,70
6000000,1934,2944752,Shattered Glass,70
6000000,2003,2025238,Novocaine,70
0,2006,0,The Business of Strangers,70
1800000,1901,67738090,The Last Exorcism,70
0,1901,0,Nowhere Boy,70
1800000,1901,8000000,A Streetcar Named Desire,70
1800000,1922,9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,70
1800000,1934,0,The Crime of Padre Amaro,70
1800000,2003,21107746,Beasts of the Southern Wild,70
1700000,2006,8844595,Battle for the Planet of the Apes,70
185000000,1930,538983207,Brave,70.5
60000000,1930,108255770,The Boxtrolls,70.5
56000000,1930,19701164,Broken City,70.5
20000000,1930,135680000,The Jungle Book 2,70.5
20000000,1930,31327899,Machete,70.5
6244087,1930,638641,The Wild Bunch,70.5
0,1930,0,Songcatcher,70.5
185000000,1920,343471816,Star Trek Beyond,70.75
75000000,1920,46683377,Practical Magic,70.75
35000000,1920,19294901,Cursed,70.75
20000000,1920,67192859,Boogeyman,70.75
12500000,1920,1083683,Casino Jack,70.75
6000000,1920,2899975,The Wackness,70.75
2000000,1920,841733,Higher Ground,70.75
180000000,1925,521311860,WALL·E,71.33
60000000,1925,469160692,The Lego Movie,71.33
35000000,1925,31083599,Premium Rush,71.33
20000000,1925,84146832,Premonition,71.33
12300000,1925,84460846,The Land Before Time,71.33
6000000,1925,0,The First Great Train Robbery,71.33
0,1925,0,Vaalu,71.33
140000000,2004,258022233,Rush Hour 3,72
0,2004,0,Miss Congeniality 2: Armed and Fabulous,72
35000000,2004,51680201,Hot Pursuit,72
30000000,2004,45554533,The Tigger Movie,72
0,2004,15,Tae Guk Gi: The Brotherhood of War,72
0,2004,0,Morvern Callar,72
0,2004,621951,The Greatest Movie Ever Sold,72
200000000,1901,769653595,2012,72.17
60000000,1901,43061982,Reign of Fire,72.17
35000000,1901,29882645,The Four Feathers,72.17
20000000,1901,41596251,Orphan,72.17
12500000,1901,3878993,The Perfect Game,72.17
6000000,1901,869325,Beastmaster 2: Through the Portal of Time,72.17
0,1901,0,Ed and His Dead Mother,72.17
200000000,1900,325233863,A Christmas Carol,72.67
60000000,1900,105200903,Gangster Squad,72.67
35000000,1900,46216641,Parker,72.67
20000000,1900,43967255,Max,72.67
8000000,1900,441306145,The Exorcist,72.67
6000000,1900,399611,The 5th Quarter,72.67
0,1900,0,Travellers and Magicians,72.67
176000003,1920,183987723,Jupiter Ascending,73.83
60000000,1920,62357900,Year One,73.83
31000000,1920,41512007,Wimbledon,73.83
20000000,1920,86865564,Epic Movie,73.83
7000000,1920,470654000,Jaws,73.83
0,1920,0,The Flower of Evil,73.83
1800000,1920,6800000,Hang 'em High,73.83
180000000,1910,356743061,The Legend of Tarzan,74.58
60000000,1910,122233971,Invictus,74.58
35000000,1910,39340177,Furry Vengeance,74.58
20000000,1910,88346473,Spotlight,74.58
11000000,1910,235483004,American Pie,74.58
6000000,1910,0,The Greatest,74.58
0,1910,0,Deadline - U.S.A.,74.58
180000000,1925,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",74.92
60000000,1925,87784194,State of Play,74.92
30000000,1925,0,Bait,74.92
20000000,1925,27640028,Lakeview Terrace,74.92
12516654,1925,8109160,Ernest & Celestine,74.92
134005,1925,1332231,Snow Flower and the Secret Fan,74.92
0,1925,0,Sublime,74.92
178000000,1900,543934787,X-Men: Apocalypse,75
185000000,1901,1004558444,The Dark Knight,75
175000000,1920,735099082,Up,75
175000000,1920,381509870,Monsters vs Aliens,75
140000000,1925,585174222,Iron Man,75
170000000,1925,185770160,Hugo,75
170000000,1925,222104681,Wild Wild West,75
145000000,1925,401128639,The Mummy: Tomb of the Dragon Emperor,75
175000000,1930,745000000,Suicide Squad,75
78146652,1900,60000000,Duplicity,75
65000000,1901,36850101,My Favorite Martian,75
60000000,1920,77920346,The Sentinel,75
70000000,1920,104945765,Planet 51,75
60000000,1925,67312826,Star Trek: Nemesis,75
60000000,1925,119940815,Intolerable Cruelty,75
0,1925,0,Trouble with the Curve,75
80000000,1925,74901339,Edge of Darkness,75
60000000,1930,33956608,The Relic,75
27000000,1900,16519460,Krull,75
35000000,1901,63215872,Lions for Lambs,75
35000000,1920,0,Flight of the Intruder,75
35000000,1920,18317151,Walk Hard: The Dewey Cox Story,75
0,1925,0,The Shipping News,75
35000000,1925,13678913,American Outlaws,75
35000000,1925,27409889,The Young Victoria,75
40000000,1925,12206028,Whiteout,75
32000000,1930,54674226,The Tree of Life,75
20000000,1900,39143839,The Grudge 2,75
20000000,1901,37672350,How Stella Got Her Groove Back,75
0,1920,0,Bill & Ted's Bogus Journey,75
20000000,1920,41237648,Man of the Year,75
20000000,1925,35841901,The Black Hole,75
20000000,1925,65464324,The American,75
20000000,1925,60000000,Selena,75
20000000,1925,80547866,Vampires Suck,75
25000000,1930,135330182,Babel,75
25000000,1900,79817939,The Golden Child,75
12000000,1901,96070507,Think Like a Man,75
12000000,1920,75781642,Barbershop,75
12000000,1920,96800000,Star Trek II: The Wrath of Khan,75
15000000,1925,107217396,Ace Ventura: Pet Detective,75
12000000,1925,79567667,WarGames,75
12000000,1925,68706993,Witness,75
12000000,1925,81272766,Act of Valor,75
12000000,1930,114194847,Step Up,75
6000000,1900,0,Come Early Morning,75
0,1901,0,Lucky Break,75
0,1920,0,Julia,75
6000000,1920,69497,"Surfer, Dude",75
0,1925,25,Lake of Fire,75
6000000,1925,0,11:14,75
0,1925,0,Men of War,75
0,1925,0,Don McKay,75
12000000,1930,66351,Deadfall,75
0,1900,0,A Beginner's Guide to Snuff,75
1800000,1901,0,Independence Daysaster,75
1800000,1920,0,Dysfunctional Friends,75
1530000,1920,7267585,Run Lola Run,75
500000,1925,150277,May,75
1493619,1925,0,Against the Wild,75
0,1925,23311391,Under the Same Moon,75
1700000,1925,9700000,Conquest of the Planet of the Apes,75
1700000,1930,0,In the Bedroom,75
175000000,1925,173000000,Evan Almighty,76.92
60000000,1925,55003135,Analyze That,76.92
33000000,1925,0,Knock Off,76.92
19800000,1925,41296320,This Is Where I Leave You,76.92
12000000,1925,0,Beavis and Butt-Head Do America,76.92
6000000,1925,0,A Shine of Rainbows,76.92
2000000,1925,572809,I Spit on Your Grave,76.92
178000000,1925,370541256,Edge of Tomorrow,78.83
60000000,1925,73174566,Righteous Kill,78.83
35000000,1925,17508518,Sabotage,78.83
20000000,1925,50907234,Doubt,78.83
12000000,1925,39673162,Jackie Brown,78.83
6000000,1925,0,The Hit List,78.83
1700000,1925,1943649,"Happy, Texas",78.83
175000000,1910,264218220,Waterworld,80
175000000,1910,302469017,G.I. Joe: The Rise of Cobra,80
175000000,1910,857611174,Inside Out,80
175000000,1920,966550600,The Jungle Book,80
200000000,1920,623933331,Iron Man 2,80
170000000,1925,396600000,Snow White and the Huntsman,80
180000000,1925,758539785,Maleficent,80
60000000,1910,0,Mercury Rising,80
60000000,1910,31720158,The Soloist,80
80000000,1910,39459427,The Legend of Bagger Vance,80
60000000,1920,47383689,Almost Famous,80
0,1920,141702264,Garfield: A Tail of Two Kitties,80
60000000,1925,71073932,xXx: State of the Union,80
60000000,1925,78309131,Priest,80
35000000,1910,11560806,The Order,80
20500000,1910,10089373,Punisher: War Zone,80
35000000,1910,12506188,Zoom,80
35000000,1920,61181942,The Walk,80
0,1920,0,Warriors of Virtue,80
35000000,1925,42064105,A Good Year,80
35000000,1925,4651977,Radio Flyer,80
32000000,1910,50907422,Team America: World Police,80
20000000,1910,47241945,Texas Chainsaw 3D,80
0,1910,0,Copycat,80
20000000,1920,78378744,Scary Movie 5,80
20000000,1920,31678778,Paint Your Wagon,80
20000000,1925,54586584,Milk,80
20000000,1925,46069568,Risen,80
12000000,1910,43493123,Harold & Kumar Escape from Guantanamo Bay,80
15000000,1910,145000000,Chronicle,80
12000000,1910,30400000,Yentl,80
5000000,1920,42365581,Time Bandits,80
12000000,1920,61141030,Crossroads,80
12000000,1925,100000000,Project X,80
12000000,1925,89800000,Patton,80
0,1910,0,Emma,80
5952000,1910,2120439,Videodrome,80
5300000,1910,3897799,The Spanish Apartment,80
6000000,1920,32251,Song One,80
4000000,1920,530048,Winter in Wartime,80
0,1925,0,Freaky Deaky,80
5800000,1925,6800000,The Train,80
0,1910,0,My Summer of Love,80
1000000,1910,4235151,The Lunchbox,80
0,1910,0,Yes,80
1644736,1920,7433101,You Can't Take It With You,80
1650000,1920,30500000,From Here to Eternity,80
1600000,1925,5400000,She Wore a Yellow Ribbon,80
0,1925,0,Grace Unplugged,80
170000000,1920,710644566,Dawn of the Planet of the Apes,80.17
60000000,1920,26288320,Sinbad: Legend of the Seven Seas,80.17
35000000,1920,0,Bound by Honor,80.17
35000000,1920,68349884,Ghost Ship,80.17
12000000,1920,52223306,One Hour Photo,80.17
0,1920,0,Trade Of Innocents,80.17
0,1920,6033999,Foolish,80.17
27000000,1901,0,The Lovers,81.58
175000000,1901,150962475,47 Ronin,81.58
60000000,1901,26673242,Event Horizon,81.58
60000000,1901,52322400,Dragonfly,81.58
35000000,1901,0,Smilla's Sense of Snow,81.58
35000000,1901,16838910,Femme Fatale,81.58
19000000,1901,35387212,A Very Harold & Kumar Christmas,81.58
20000000,1901,67200000,Wild Things,81.58
12000000,1901,40855419,Quarantine,81.58
12000000,1901,56309766,The Eye,81.58
6000000,1901,27165581,The Protector,81.58
0,1901,0,Stiff Upper Lips,81.58
0,1901,2592808,N-Secure,81.58
0,1901,0,Caramel,81.58
170000000,1920,714766572,Captain America: The Winter Soldier,82.17
50000000,1920,49111202,The Black Dahlia,82.17
35000000,1920,0,Lion of the Desert,82.17
0,1920,0,The Stepfather,82.17
12000000,1920,31179516,Johnson Family Vacation,82.17
3500159,1920,76578641,Bend It Like Beckham,82.17
0,1920,0,Out of the Dark,82.17
165000000,1965,752600867,Shrek Forever After,84.25
60000000,1965,17800000,Flyboys,84.25
35000000,1965,15000000,The Horseman on the Roof,84.25
20000000,1965,45636368,The Debt,84.25
12000000,1965,31155435,How High,84.25
0,1965,0,Sunshine State,84.25
0,1965,0,The Bubble,84.25
190000000,1920,209154322,Tomorrowland,85
165000000,1925,652105443,Big Hero 6,85
165000000,1945,471222889,Wreck-It Ralph,85
72000000,1920,27642707,The Last Castle,85
90000000,1925,14828081,Supernova,85
60000000,1945,30800231,Winter's Tale,85
38000000,1920,635096,Ride with the Devil,85
0,1925,25147786,Biutiful,85
35000000,1945,10496317,Bandidas,85
30000000,1920,47126295,High Fidelity,85
20000000,1925,0,One Missed Call,85
20000000,1945,0,Eye for an Eye,85
0,1920,27281507,The Muppet Christmas Carol,85
12000000,1925,56298474,Frida,85
12000000,1945,32726956,Katy Perry: Part of Me,85
5800000,1920,7000000,Crossover,85
0,1925,126,Khiladi 786,85
5600000,1945,18469680,[REC]²,85
1600000,1920,4420000,The Conversation,85
0,1925,0,Dil Jo Bhi Kahey...,85
0,1945,0,Mississippi Mermaid,85
165000000,1920,305875730,The Polar Express,85.17
60000000,1920,90565421,The Mortal Instruments: City of Bones,85.17
0,1920,0,Black Water Transit,85.17
20000000,1920,64822796,The Bank Job,85.17
12000000,1920,307166834,The Fault in Our Stars,85.17
0,1920,531826,Standing Ovation,85.17
0,1920,0,I Love Your Work,85.17
165000000,1920,389681935,Independence Day: Resurgence,85.83
60000000,1920,50650079,Meet Dave,85.83
34000000,1920,348319861,The Maze Runner,85.83
20000000,1920,72258126,Eternal Sunshine of the Spotless Mind,85.83
12000000,1920,22921898,Rounders,85.83
5500000,1920,159616327,The Sting,85.83
0,1920,0,Cabin Fever,85.83
165000000,1920,494878759,How to Train Your Dragon,86.33
30000000,1920,25473093,Dark Water,86.33
